port,in($)_1,in($)_2,in($)_3,in($)_4,in($)_5,in($)_6,in($)_7,in($)_8,out($)_1,out($)_2,out($)_3,out($)_4,out($)_5,out($)_6,out($)_7,out($)_8,county,latitude,longitude,ll_county
"Lynden, WA",,233920.0,18496477.0,2508363.0,,,14400.0,32481.0,386590.0,111637.0,40458992.0,328537.0,2519432.0,1739919.0,6756787.0,1028445.0,Whatcom County,49.0016738,-122.4858105,Whatcom
"Mackinac Island, MI",,,,,,,,,,,4360.0,,,,15222.0,,Mackinac County,45.8509907,-84.614452,Mackinac
"Madawaska, ME",,,11200.0,,,,,,,109950.0,57960.0,103118.0,,,291110.0,19765.0,Aroostook County,47.3572088,-68.328592,Aroostook
"Maida, ND",,167291.0,2017960.0,1027462.0,,,,,,,251292.0,20769.0,,,,,Cavalier County,48.9985126,-98.3658475,Cavalier
Mail Shipments,,,,,,,,,,3467.0,3236737.0,758057.0,,2515.0,89494.0,10909.0,,40.776568,-74.010492,Hudson
"Marquette, MI",,,,,,,,,,,4808.0,,,49622.0,,,Marquette County,46.5815701,-87.38453510000001,Marquette
"Massena, NY",303646.0,903414.0,8368858.0,12590650.0,,5651774.0,17573141.0,6122491.0,4971.0,41872.0,556030.0,4268693.0,677158.0,264940.0,4522986.0,253814.0,St Lawrence County,44.954776,-74.8242182,St. Lawrence
"Mayaguez, PR",2500.0,3540722.0,503835.0,6089817.0,23402.0,44683.0,3373335.0,157282.0,,3030.0,94229.0,87500.0,,156419.0,42289.0,23481.0,,18.2184683,-67.15967859999999,Mayagüez
"Meadows Field Airport Bakersfield, CA",,,2874.0,,,,,,,,,,,,,,Kern County,35.4329123,-119.056618,Kern
"Melbourne Regional Airport, FL",,,,,56286.0,,,,,,,,,,,,Brevard County,28.1025235,-80.6453675,Brevard
"Memphis, TN",3435.0,260286.0,2872945.0,1683478.0,5130888.0,119288.0,12096272.0,40453.0,22238474.0,,2991713.0,4554791.0,1979023.0,13235.0,5671755.0,24854.0,Shelby County,35.1079737,-90.0894328,Shelby
"Metaline Falls, WA",,,,,,,24602.0,,,,354063.0,,,,,,Pend Oreille County,48.85082610000001,-117.3910568,Pend Oreille
"Miami International Airport, FL",88972678.0,99920814.0,1376114882.0,43916211.0,928974100.0,1757958.0,26150694.0,1161796.0,49727208.0,19839347.0,66315286.0,44735729.0,31057102.0,1679478.0,117581050.0,1876134.0,Miami-Dade County,25.795865,-80.2870457,Miami-Dade
"Miami, FL",,73382763.0,874840066.0,39617900.0,925110189.0,42117637.0,240192628.0,642710177.0,417325.0,11787789.0,699183532.0,53770374.0,258040476.0,85414077.0,453584671.0,178992679.0,Miami-Dade County,25.7745435,-80.1708802,Miami-Dade
"MidAmerican Airport, Mascoutah, IL",,,248671.0,,,,,,,,,,,,,,St Clair County,38.5491996,-89.8216405,St. Clair
"Milwaukee, WI",,,472803.0,1139123.0,,3516289.0,1226611.0,2381430.0,26854.0,2270588.0,899116.0,,,,,,Milwaukee County,43.002812,-87.8911419,Milwaukee
"Minneapolis-St. Paul, MN",38016.0,91789.0,6391823.0,965418.0,2800254.0,4185983.0,18884670.0,10621383.0,612718.0,3444.0,464494.0,538758.0,215701.0,194717.0,2664092.0,43554.0,Hennepin County,44.8847554,-93.2222846,Hennepin
"Mobile, AL",,,4788060.0,212251.0,669840.0,391008.0,114013399.0,1258571.0,542241.0,13485452.0,248883541.0,1836556.0,438341126.0,2854171.0,76561922.0,36583.0,Mobile County,30.6867801,-88.03815929999999,Mobile
"Monterey, CA",,,,,,,,,,,,,,,75677.0,38862.0,Monterey County,36.6116265,-121.8955095,Monterey
"Morgan City, LA",,,18048.0,,,,,,,3140.0,753126.0,5953.0,412591.0,,17612.0,38680.0,St Mary Parish,29.69148,-91.1999456,St. Mary
"Morristown Airport, Newark, NJ",,,,,,,,,210910.0,,,2553.0,141344.0,26257.0,9071.0,421869.0,Morris County,40.7949743,-74.4232636,Morris
"Naco, AZ",,,,,,27532.0,,,,,,,59723.0,,,2851.0,Cochise County,31.3346151,-109.9482737,Cochise
"Nashville, TN",,,,,,,,,,,5393.0,,16782.0,,2518.0,3863.0,Davidson County,36.2599031,-86.7428733,Davidson
"Nawiliwili-Port Allen, HI",,,,,18495.0,,,,,,,,,,,,Kauai County,21.9546501,-159.3571378,Kauai
"Neah Bay, WA",,,,,,,,,,,8373.0,,,,,,Clallam County,48.3664725,-124.6101308,Clallam
"Neche, ND",,315384.0,7186284.0,,,,,,17291.0,147082.0,27016806.0,83724.0,73899.0,,11337.0,,Pembina County,48.9990883,-97.55792310000001,Pembina
"New Bedford, MA",,,,,31130.0,87798.0,,,,,,,577706.0,,,,,41.635727,-70.921182,Bristol
"New Haven, CT",,,,,,,,21838643.0,,,,,,,,,New Haven County,41.29187,-72.90323699999999,New Haven
"New Orleans, LA",15213.0,17802367.0,894073238.0,43608041.0,5239324.0,2316269.0,948164210.0,104530829.0,3938042.0,5043457094.0,7587481045.0,2010132388.0,358125339.0,47442643.0,1474171679.0,44317950.0,Orleans Parish,29.9371087,-90.06148770000001,Orleans
"New York, NY",,7776566.0,372644528.0,44087548.0,464699350.0,69132384.0,410151514.0,306364608.0,252996.0,25126169.0,381220591.0,427950928.0,327115435.0,198463836.0,1256942005.0,125410070.0,Kings County,40.6839717,-74.0062426,Kings
"Newark, NJ",18776604.0,208498276.0,3358883897.0,494663548.0,3231114908.0,944810491.0,6320096855.0,5142455762.0,4443145.0,3317750.0,69999736.0,64072860.0,215023401.0,50604782.0,298356577.0,15432953.0,Essex County,40.6900098,-74.1517532,Essex
"Newport News, VA",,,,,,,,78982.0,,,,,388798.0,15735.0,19980.0,,,37.0778545,-76.4680455,Newport News
"Newport, OR",,,,,,,,,,1120693.0,118445.0,18095205.0,150000.0,,33344.0,,Lincoln County,44.6212018,-124.0483934,Lincoln
"Newport, RI",,,,,,,,29241218.0,,,,244857.0,,,,,Newport County,41.4834477,-71.3155147,Newport
"Nogales, AZ",95164994.0,3888368.0,2628361210.0,18782579.0,284497751.0,41014774.0,125792219.0,206522762.0,7509592.0,35693980.0,406827163.0,208265401.0,92442836.0,22101972.0,61148070.0,14982698.0,Santa Cruz County,31.3360061,-110.965852,Santa Cruz
"Noonan, ND",,,,,,,,,,,4918963.0,,,63558.0,,,Divide County,48.997791,-103.005833,Divide
"Norfolk-Newport News, VA",3260.0,24712431.0,1754709717.0,131357996.0,705396074.0,75765190.0,513057400.0,919703433.0,30200.0,180955782.0,2163891867.0,700318090.0,715498548.0,102059365.0,618147321.0,159334875.0,,36.8459527,-76.29236949999999,Norfolk
"Northgate, ND",,11581359.0,7499601.0,,,,,,,29934.0,152853.0,114259.0,187282.0,439605.0,522822.0,298847.0,Burke County,48.9979534,-102.2758604,Burke
"Norton, VT",,3085583.0,10886842.0,4037999.0,,123511.0,12855441.0,12322.0,3772.0,8645.0,2646576.0,258559.0,21602.0,122808.0,1328119.0,25900.0,Essex County,45.0103297,-71.7941608,Essex
"Oakland, CA",1450560.0,111407453.0,1443195058.0,192966885.0,461195629.0,220995992.0,820331498.0,1541848530.0,484108.0,424167826.0,5415978285.0,406361650.0,2725219845.0,135609037.0,1569400414.0,866611968.0,Alameda County,37.79561229999999,-122.2791662,Alameda
"Ogdensburg, NY",,2236120.0,2927452.0,8869703.0,90310.0,8388361.0,6457219.0,129465.0,85436.0,,6527925.0,3799186.0,816270.0,449240.0,6011673.0,224572.0,St Lawrence County,44.718694,-75.455416,St. Lawrence
"Oklahoma City, OK",,,,,,,,,358383.0,,,,,,,,McIntosh County,35.4404476,-95.5975022,McIntosh
"Olympia, WA",,,,,,,,,,,69000.0,,,,,,Thurston County,47.04946289999999,-122.9032002,Thurston
"Omaha, NE",,,9444529.0,383.0,,,24883.0,328332.0,,,,,,,,,Douglas County,41.30651770000001,-95.9043342,Douglas
"Ontario International Airport, CA",,,,,,,,,,,,,,,20579.0,4200.0,San Bernardino County,34.0559781,-117.598057,San Bernardino
"Opheim, MT",,102527.0,147883.0,,,,,,46529.0,,413239.0,472397.0,,,,,,48.99850379999999,-106.3808685,Valley
"Orlando Executive Airport, FL",,,,,,,,,,,23226.0,,16293.0,,26850.0,,Orange County,28.5462378,-81.33209250000002,Orange
"Orlando, FL",478430.0,,8730654.0,3307235.0,6118322.0,84517.0,1277846.0,806824.0,,2684.0,9622895.0,163815.0,182144.0,188674.0,14264540.0,51353.0,Orange County,28.4323948,-81.4700872,Orange
"Orlando-Sanford Airport, FL",,560973.0,49353.0,471647.0,1522944.0,,144079.0,102516.0,,,2071536.0,,2777.0,,151921.0,,Orange County,28.4001296,-81.5346095,Orange
"Oroville, WA",50559294.0,115275.0,18850199.0,9733832.0,69061.0,4053268.0,3503683.0,46266.0,443875.0,2849325.0,13883631.0,522901.0,6557.0,733110.0,15349119.0,11136352.0,Okanogan County,48.9993278,-119.4627623,Okanogan
"Oswego, NY",,8741045.0,,,,,,,,,5811.0,7484.0,,4643.0,39171.0,,Oswego County,43.4638516,-76.5103199,Oswego
"Otay Mesa, CA",314789.0,1107052.0,1008615241.0,3985215.0,87244544.0,43695610.0,109528840.0,213763563.0,466560.0,16665536.0,302992608.0,33805447.0,169737222.0,60324363.0,424737619.0,25632560.0,San Diego County,32.5505681,-116.9382197,San Diego
"Owensboro-Evansville, IN",,,,,,,,20410204.0,,,,,,,,,Daviess County,37.7981,-87.149625,Daviess
"Pal-Waukee User Fee Airport, Wheeling, IL",,,55120.0,,,,,,,,,,,,,,Cook County,42.1170686,-87.9011312,Cook
"Palm Springs Regional Airport, CA",,,,,,,,,105184.0,,50358.0,10581.0,,,23859.0,,Riverside County,33.8303194,-116.5070468,Riverside
"Panama City, FL",,,21483203.0,36412.0,29278461.0,183122.0,12462049.0,42969.0,,,53509304.0,1720780.0,1313468.0,1341334.0,9177005.0,837093.0,Bay County,30.1838124,-85.73127470000001,Bay
"Pascagoula, MS",,,,,,,,,,,849734.0,,51509194.0,,,,Jackson County,30.3643107,-88.5568708,Jackson
"Paulsboro, NJ",,,,,,,,19187536.0,,,,,,,,28377560.0,Camden County,39.8985678,-75.1265227,Camden
"Pembina, ND",249252261.0,361348693.0,320578295.0,202001973.0,170092647.0,136020630.0,1065204771.0,557403.0,6211705.0,84550600.0,195824367.0,186819629.0,95739661.0,76880783.0,224514708.0,83759124.0,Pembina County,48.99917929999999,-97.2392315,Pembina
"Pensacola, FL",,,,,,,,,,,,,30691985.0,,,,Escambia County,30.40588,-87.210596,Escambia
"Peoria, IL",,,16770.0,,,139339.0,,,,,,,,,,,Peoria County,40.7405322,-89.55345369999999,Peoria
"Perth Amboy, NJ",,,589696.0,188994.0,,,8451.0,24557591.0,,,414925.0,20174.0,,,3642963.0,83743316.0,Middlesex County,40.519741,-74.2594457,Middlesex
"Philadelphia International Airport, PA",115391.0,,2866886.0,6986203.0,118222.0,15202.0,28145683.0,31681.0,68682.0,3230.0,2715222.0,3565920.0,8631968.0,365567.0,10224323.0,73505.0,,39.8743959,-75.2424229,Philadelphia
"Philadelphia, PA",13886.0,116566509.0,1220779516.0,50304113.0,1479503535.0,48384319.0,1181603062.0,177737355.0,198658.0,94120.0,16912703.0,20381403.0,63635391.0,5587859.0,72303874.0,4840902.0,Philadelphia County,39.9804708,-75.0895785,Philadelphia
"Phoenix, AZ",,,482154.0,494355.0,1790053.0,2083.0,113047.0,3295492.0,,,562554.0,,40555.0,105451.0,359524.0,2953.0,Maricopa County,33.4372686,-112.0077881,Maricopa
"Piegan, MT",,380433.0,4019.0,,,37435.0,,,7396.0,,228664.0,,,2923.0,,,Glacier County,48.9969423,-113.3804028,Glacier
"Pittsburgh, PA",,,2117.0,,,28837.0,97673.0,,,,3935.0,,,,13797.0,,Allegheny County,40.4419066,-79.9977734,Allegheny
"Plymouth, MA",,,,,,,,,,,,,9413.0,,,,Plymouth County,41.9873125,-70.71236549999999,Plymouth
"Point Roberts, WA",,,7686.0,,,,,566192.0,,44848.0,47736.0,27172.0,5353.0,,6407.0,15318.0,Whatcom County,49.0013166,-123.0681702,Whatcom
"Ponce, PR",,,,,,,27142119.0,,,,,,,,281035.0,,Playa,17.9703422,-66.61511709999999,Ponce
"Port Angeles, WA",,,,3139.0,,5472.0,,,,31231.0,2104912.0,296015.0,97408.0,1169023.0,1422377.0,100132.0,Clallam County,47.97684290000001,-123.5368769,Clallam
"Port Arthur, TX",,,,,,,23409254.0,6500.0,,,,,,,,,Jefferson County,29.9683461,-94.0227578,Jefferson
"Port Canaveral, FL",,,310152.0,,,,9580628.0,89585190.0,,,188066.0,3900.0,8052.0,,64140603.0,,Brevard County,28.403873,-80.6125974,Brevard
"Port Everglades, FL",,22889990.0,520802955.0,15025896.0,389123698.0,51824558.0,231163120.0,1113732718.0,928404.0,9424925.0,465470924.0,56692922.0,330803814.0,100571648.0,406573889.0,66944325.0,Broward County,26.091519,-80.1242692,Broward
"Port Hueneme, CA",,,321903364.0,,26151675.0,26050.0,514602.0,57216.0,,228446.0,25068951.0,80144.0,191843.0,55163.0,18285906.0,51969.0,Ventura County,34.1491718,-119.208719,Ventura
"Port Huron, MI",65044981.0,75491531.0,225084208.0,79536840.0,27971317.0,310130288.0,442725712.0,71128821.0,22076551.0,121596779.0,1104641518.0,523961397.0,233224857.0,581141177.0,1355689618.0,554025203.0,St Clair County,42.9750892,-82.4257526,St. Clair
"Port Manatee, FL",,14854334.0,163341988.0,,,,24122703.0,,,,23100.0,5080.0,141120.0,102671.0,58613131.0,,Manatee County,27.6336443,-82.5614858,Manatee
"Port Sulphur, LA",,,,,,,,,,,12000.0,24558.0,,,,,Plaquemines Parish,29.4791699,-89.6951431,Plaquemines
"Port Townsend, WA",,,,,,,,,,,35157.0,5607.0,,,,,Jefferson County,48.10764959999999,-122.7797293,Jefferson
"Portal, ND",151046422.0,266569280.0,221069391.0,22740511.0,79283809.0,19893443.0,137744098.0,4425471.0,6263234.0,35744105.0,159534584.0,245530630.0,89660339.0,84676577.0,321834088.0,213968987.0,Burke County,48.9983648,-102.5533437,Burke
"Porthill, ID",,254567.0,1054722.0,,,,,5193354.0,8248.0,,36025.0,,,,182427.0,62583.0,Boundary County,48.99925510000001,-116.4989697,Boundary
"Portland International Airport, WA",11500.0,,155488.0,256462.0,131919.0,,80922.0,116215.0,,18422.0,11355611.0,384490.0,1345354.0,7880.0,381792.0,29316.0,Multnomah County,45.58976939999999,-122.5950942,Multnomah
"Portland, ME",21000.0,,6386834.0,9035.0,,,8380011.0,5011772.0,,,7097644.0,448353.0,,145584.0,3054557.0,,Cumberland County,43.6575823,-70.2406036,Cumberland
"Portland, OR",,1641984.0,122315823.0,4064904.0,12297464.0,3466677.0,39655702.0,21932134.0,,1476437995.0,792328841.0,8861045.0,8429374.0,6334562.0,25656967.0,1881006.0,Multnomah County,45.5880928,-122.5890832,Multnomah
"Portsmouth, NH",,,,40653.0,,43994.0,902772.0,42890.0,,,82958.0,,44831.0,95640.0,38272082.0,,Rockingham County,43.0823107,-70.76217489999999,Rockingham
"Presidio, TX",93808149.0,137568.0,19227541.0,,4912.0,,,,27069624.0,2833761.0,9276154.0,230125.0,,7437.0,1545518.0,,Presidio County,29.5620736,-104.3906414,Presidio
"Progreso, TX",,,122968011.0,7686.0,,3472.0,3752946.0,,,146859182.0,40266295.0,18211029.0,,11865861.0,3456591.0,,Hidalgo County,26.06331,-97.94949489999999,Hidalgo
"Providence, RI",,,1302.0,2452677.0,,,,160722617.0,,,,386525.0,,,102061.0,24736565.0,Providence County,41.7888484,-71.3836032,Providence
"Racine, WI",,,51350.0,173999.0,,6417.0,20281.0,,3357.0,,,,,1452586.0,,,Racine County,42.730303,-87.77605199999999,Racine
"Raymond, MT",14978891.0,2510438.0,8144438.0,5253487.0,80978.0,3354311.0,2014540.0,,200599.0,154428.0,42343180.0,3371516.0,304813.0,157285.0,2056125.0,332417.0,Sheridan County,48.9972501,-104.5753087,Sheridan
"Reno, NV",,,,,,,,,,,,,8846.0,,,,Washoe County,39.5097721,-119.7767981,Washoe
"Richford, VT",,9160571.0,338837.0,3610334.0,,1056962.0,111159.0,,,27419.0,2747.0,740964.0,,,20496.0,,Franklin County,45.013758,-72.6627369,Franklin
"Richmond, CA",,,,,,,270881487.0,3085235.0,,,,,,,31184713.0,,Contra Costa County,37.9236958,-122.3890025,Contra Costa
"Richmond-Petersburg, VA",,,120847.0,451752.0,,,,,,,,,,,5260.0,,King William County,37.552658,-76.810639,King William
"Rio Grande City, TX",,17266.0,100278339.0,,30578.0,506880.0,3053949.0,3433402.0,,1028401.0,71616.0,,,,146206.0,3168.0,Starr County,26.36729,-98.8014267,Starr
"Rochester, NY",,,,43398.0,,,,,,,,7695.0,,19204.0,90935.0,,Monroe County,43.255745,-77.607298,Monroe
"Rockford Airport, IL",,,679.0,6774.0,,,,,22400.0,,18754.0,146868.0,16720.0,,618318.0,,Winnebago County,42.2019276,-89.0955966,Winnebago
"Rockland, ME",,,,,,,,,,,,,,12342.0,4961.0,,Knox County,44.100594,-69.10771919999999,Knox
"Roma, TX",,,607663.0,,,,251650.0,,,,741170.0,634984.0,,47618.0,83860.0,1497774.0,Starr County,26.4040796,-99.01682729999999,Starr
"Roosville, MT",,,85081.0,122679.0,,4125.0,240672.0,,,2759.0,1723251.0,26918.0,,,71128.0,,East Kootenay,49.0014927,-115.0550465,
"Roseau, MN",,311249.0,967841.0,2323281.0,,4969330.0,,,,36051.0,,117743.0,,,5437.0,,Roseau County,48.99859559999999,-95.7675786,Roseau
"Sabine, TX",,,,,,,,,,9390000.0,,,,,,,Jefferson County,29.7335518,-93.89433269999999,Jefferson
"Sacramento International Airport, CA",,,,5655.0,,,,,,,,,,,,,Sacramento County,38.6950854,-121.5900648,Sacramento
"Saginaw-Bay City, MI",,,,,,,,,,,93126.0,,40355.0,77499.0,34653.0,83353.0,,43.64289489999999,-83.8513011,Bay
"Salem, MA",,,2498.0,10756.0,,16062.0,,,,,,,,16627.0,294790.0,,Essex County,42.5237067,-70.86615929999999,Essex
"Salt Lake City, UT",,,105158.0,681.0,,13500.0,3139274.0,6012.0,1211906.0,,118130.0,40800.0,,,1223575.0,20821.0,Salt Lake County,40.78662569999999,-111.9843653,Salt Lake
"San Antonio, TX",,,,,,,,,,,40321.0,72513.0,102839.0,9618.0,45130.0,,Bexar County,29.386134,-98.57169689999999,Bexar
"San Bernardino International Airport, CA",,,,,,,,,,,5968.0,,,,,,San Bernardino County,34.1008469,-117.2466838,San Bernardino
"San Diego, CA",,,202705526.0,206902.0,51587945.0,212800.0,2375445.0,226603.0,,177810.0,6134634.0,3541128.0,439297.0,48553.0,2400055.0,2114549.0,San Diego County,32.7353163,-117.1772172,San Diego
"San Francisco International Airport, CA",1349030.0,9960.0,115608442.0,4826852.0,31575170.0,226269.0,23685798.0,4499727.0,4942858.0,110072.0,244088467.0,7944745.0,30142539.0,717659.0,33915081.0,35540232.0,San Mateo County,37.6213129,-122.3789554,San Mateo
"San Francisco, CA",,179110.0,29230946.0,4718190.0,3461802.0,7909897.0,57744792.0,15623841.0,,25045724.0,15703458.0,1060777.0,625445.0,90044.0,12436441.0,157812.0,San Francisco County,37.7968374,-122.3950767,San Francisco
"San Jose International Airport, CA",,,,,,,7240.0,275453.0,,,976281.0,56772.0,4869.0,,235107.0,,Santa Clara County,37.3639472,-121.9289375,Santa Clara
"San Juan International Airport, PR",115000.0,,1965353.0,3000.0,147385.0,53590.0,263962.0,164014.0,150000.0,25692.0,44710.0,,,2123651.0,1359354.0,14145.0,,18.4375849,-66.00398179999999,Carolina
"San Juan, PR",,81143777.0,150873194.0,20881556.0,212589570.0,69204664.0,247289895.0,205460553.0,26000.0,1006911.0,18259417.0,6628744.0,1742696.0,10206708.0,53311557.0,40901192.0,,18.463196,-66.113164,San Juan
"San Luis, AZ",3810741.0,,197765530.0,4788.0,15676180.0,997706.0,5294551.0,,46400.0,2529.0,81495417.0,1740333.0,6261987.0,863128.0,4001274.0,239874.0,Yuma County,32.4854051,-114.7814599,Yuma
"San Pablo Bay, CA",,567420.0,9121668.0,,,,498020.0,,,9508810.0,128823179.0,43109776.0,512287.0,156643.0,48074.0,,,38.043987,-122.4014193,Marin
"San Ysidro, CA",,,,,,,,,,1251482.0,1698122.0,1776135.0,,13051072.0,10619211.0,109794.0,San Diego County,32.5423592,-117.0360315,San Diego
"Santa Teresa, NM",273939096.0,1049095.0,48765588.0,,,,124359316.0,,8767529.0,4000.0,8594554.0,,75118.0,1104398.0,16684464.0,5005.0,Doña Ana County,31.855864,-106.6391928,Doña Ana
"Sarles, ND",,148733.0,3870.0,,,,,,,,11778.0,,,,4600.0,,Cavalier County,48.9994756,-98.93741250000001,Cavalier
"Sasabe, AZ",,,,,,,,,4500.0,,287008.0,,,,,,Pima County,31.4836948,-111.544565,Pima
"Sault Ste Marie, MI",32014.0,,2180457.0,116093.0,3324252.0,295208.0,13079752.0,503275.0,10913.0,339199.0,21396838.0,2696771.0,7054734.0,9723084.0,18112362.0,2729070.0,Chippewa County,46.4948726,-84.3680973,Chippewa
"Savannah, GA",2772386.0,42024758.0,444361297.0,83733718.0,605175522.0,83439347.0,1225696013.0,613161814.0,1349077.0,17423253.0,1976427650.0,211378742.0,1317014141.0,72848055.0,564551456.0,441838523.0,Chatham County,32.1284636,-81.15146969999999,Chatham
"Scobey, MT",,,92400.0,,,,,,,180928.0,654989.0,37138.0,,53430.0,34494.0,16196.0,,48.9984565,-105.4088162,Daniels
"Seattle, WA",,20911408.0,467437695.0,133646828.0,562192372.0,34013822.0,253723438.0,166558670.0,44386.0,563561274.0,2040366261.0,239859201.0,1079632573.0,69650439.0,1008467237.0,20200023.0,King County,47.6557261,-122.3800776,King
"Seattle-Tacoma International Airport, WA",318111.0,,17501115.0,4197399.0,3450304.0,14944.0,27681237.0,155108.0,551982.0,27680.0,119743185.0,2829655.0,72290481.0,2033724.0,8994107.0,534289.0,King County,47.4502499,-122.3088165,King
"Selby, CA",,,,,,,,144231432.0,,,,,,,,,Contra Costa County,38.0447763,-122.1885783,Contra Costa
"Sherwood, ND",,663110.0,9327640.0,,,,,,,,5549.0,,,,,,Renville County,48.9979022,-101.6283712,Renville
"Shreveport-Bossier City, LA",,,,,,,,,4464335.0,,,,,,1720176.0,,Caddo Parish,32.4544615,-93.8231509,Caddo
"Sioux Falls, SD",,,,,,,,,488749.0,,274287.0,5664.0,16337.0,,109816.0,,Minnehaha County,43.5873233,-96.7344838,Minnehaha
"Sitka, AK",,,,,405249.0,,,,,,,,39561.0,,,,Sitka,57.0503139,-135.33329,Sitka
"Skagway, AK",,,,,,,,,,28254.0,,242663.0,1164712.0,,,,Skagway,59.45026,-135.3237741,Skagway
"Sodus Point, NY",,,,,,,,,,15332.0,,,,,,,Wayne County,43.2677646,-76.97969739999999,Wayne
"Spokane, WA",,,,1510.0,,,2725.0,,,,,,,,,6569.0,Spokane County,47.7611298,-117.3908628,Spokane
"St. Albans, VT",,,,,,,,,,,,4275.0,,,270941.0,,Franklin County,44.8094325,-73.0841592,Franklin
"St. John, ND",,,2894169.0,,,,,,2566.0,8860.0,10526.0,62413.0,,,,,Rolette County,48.9987249,-99.65855959999999,Rolette
"St. Louis, MO",,,,155692.0,,,,9493888.0,2552.0,,,,33517.0,,,,,38.6519524,-90.1837528,St. Louis
"St. Petersburg, FL",,,,,,,,,,,,,64320.0,,,,Pinellas County,27.7608611,-82.6298206,Pinellas
"St. Rose, LA",,,,,,,,,,,,,,,14651139.0,,Jefferson Parish,29.96358799999999,-90.24800139999999,Jefferson
"Stockton, CA",,18442550.0,45667508.0,,,23517.0,5682885.0,5697.0,,177527000.0,,29211816.0,,,,,San Joaquin County,37.9510351,-121.3266136,San Joaquin
"Sumas, WA",21249789.0,2954890.0,214409610.0,23200696.0,3982259.0,21170711.0,39726814.0,18692137.0,12129316.0,11748935.0,81674320.0,17789340.0,6442326.0,14974109.0,57268941.0,6798579.0,Whatcom County,49.0019067,-122.2660732,Whatcom
"Sweetgrass, MT",267153408.0,47836456.0,89028450.0,88404820.0,623951810.0,44636714.0,191852625.0,4831497.0,20245128.0,8170428.0,583735960.0,63201656.0,82528470.0,64281136.0,190785830.0,39133249.0,Toole County,48.9981794,-111.960285,Toole
"Syracuse, NY",,,,,,,,24679.0,43323.0,,,,,,,,Onondaga County,43.111632,-76.12411300000001,Onondaga
"Tacoma, WA",,5701816.0,108272186.0,87671280.0,108065848.0,10790717.0,97775802.0,31846574.0,15744.0,635587630.0,2413805774.0,451310174.0,842289157.0,81573241.0,802203645.0,23803583.0,Pierce County,47.2654682,-122.4123139,Pierce
"Tampa, FL",,1526223.0,3497603.0,1309695.0,9667080.0,399389.0,160539923.0,182131921.0,,636219.0,750132.0,38864956.0,484342.0,5054159.0,35731049.0,562869.0,Hillsborough County,27.8603907,-82.53211189999999,Hillsborough
"Tecate, CA",,,1467858.0,,,390339.0,3957641.0,2046059.0,,3316.0,307635.0,603614.0,107850.0,1449549.0,4978151.0,,,32.576965,-116.6271579,San Diego
"Texas City, TX",,,,,,,,,,,,3050.0,58664.0,72746.0,776475.0,579031383.0,Galveston County,29.37578389999999,-94.90327110000001,Galveston
"Toledo-Sandusky, OH",,123458305.0,2872061.0,,,,11760.0,135374.0,,3324950.0,344254482.0,,,,70068.0,,Ottawa County,41.5123697,-82.8582058,Ottawa
"Tri-City Airport, Blountville, TN",,,,,,,,,,,,,,,46264.0,,Sullivan County,36.4742739,-82.4092526,Sullivan
"Trout River, NY",,483522.0,52586.0,6701111.0,,8336148.0,50635630.0,4413048.0,,796848.0,8882086.0,5908464.0,,,211868.0,8845785.0,Franklin County,44.9442,-74.323,Franklin
"Tucson, AZ",,,3884.0,,,,,,,,,7500.0,,,,,Pima County,32.1263638,-110.8471792,Pima
"Tulsa, OK",,,,,,,,,22915.0,,,,,,,,Rogers County,36.230608,-95.74023240000001,Rogers
"Turner, MT",,67794.0,,17648.0,,,,,15075.0,,,93035.0,,,16461.0,,,48.9993382,-108.3891553,
"Utica, NY",,,,,,,,,,,12670.0,,7353.0,5357.0,132662.0,,Oneida County,43.1181098,-75.2283642,Oneida
"Van Buren, ME",,626657.0,913832.0,305778.0,26673928.0,,,,,485242.0,403154.0,,,,33289.0,,Aroostook County,47.15772579999999,-67.9328565,Aroostook
"Vanceboro, ME",,,,851.0,,,,34543773.0,,,175945.0,884938.0,,,55832.0,,Washington County,45.5683587,-67.42940329999999,Washington
"Vancouver, WA",,,42030.0,164397.0,,20930.0,111260.0,,,740782446.0,43003142.0,2855535.0,239160.0,92375.0,5989637.0,31296.0,Clark County,45.64329439999999,-122.7038707,Clark
"Ventura, CA",,,,,,,,,,,,,78450.0,,,,Ventura County,34.2452717,-119.2633122,Ventura
"Vicksburg, MS",,,,,,,,,3566.0,,,,,,,,Warren County,32.342515,-90.8797529,Warren
"Walhalla, ND",,2135487.0,36914729.0,,,,,,,30685.0,1135623.0,2609900.0,,,24157.0,,Pembina County,48.9987423,-97.9086167,Pembina
"Warroad, MN",,25494.0,142986.0,3546.0,2782240.0,25670.0,28855.0,762288.0,3291.0,59163.0,359957.0,162757.0,,3531.0,,21107.0,Roseau County,48.9876645,-95.37020749999999,Roseau
"Washington, DC",1528318.0,2644.0,10338419.0,16425240.0,8703038.0,241830.0,30605675.0,802979.0,3576967.0,75249.0,3838789.0,25018011.0,18141080.0,1413976.0,12781840.0,221993.0,,38.8764176,-77.0216918,District of Columbia
"West Palm Beach, FL",,,19242379.0,280008.0,48494233.0,282798.0,52444902.0,7609636.0,359112.0,9405734.0,43914060.0,31835719.0,136330054.0,33341644.0,123113481.0,36903277.0,Palm Beach County,26.7670074,-80.0511523,Palm Beach
"Westhope, ND",,223580.0,9534644.0,,,,,,2695.0,14323.0,149016.0,350437.0,,,,,Bottineau County,48.9980982,-101.0173143,Bottineau
