Port,Commodity,Customs Value (Gen) ($US),Vessel Customs Value (Gen) ($US),Vessel SWT (Gen) (kg),Air Customs Value (Gen) ($US),Air SWT (Gen) (kg),Customs Containerized Vessel Value (Gen) ($US),Containerized Vessel SWT (Gen) (kg)
"Houston, TX (Port)","1105 Flour, Meal Flakes, Granules & Pellets Of Potatoes",2653803,2653803,1385814,,,2653803,1385814
"Houston, TX (Port)","1106 Flour & Meal Of Dry, Legum Vegs, Sago, Fruit Etc.",657644,657644,628629,,,657644,628629
"Houston, TX (Port)","1107 Malt, Whether Or Not Roasted",3669678,3669678,4585098,,,3669678,4585098
"Houston, TX (Port)",1108 Starches; Inulin,1220952,1220952,1910389,,,1220952,1910389
"Houston, TX (Port)","1109 Wheat Gluten, Whether Or Not Dried",11117355,11117355,8330477,,,11117355,8330477
"Houston, TX (Port)","1201 Soybeans, Whether Or Not Broken",915005,915005,943587,,,915005,943587
"Houston, TX (Port)","1202 Peanuts (ground-nuts), Raw",2869657,2869657,1471580,,,2869657,1471580
"Houston, TX (Port)","1206 Sunflower Seeds, Whether Or Not Broken",352749,352749,246935,,,352749,246935
"Houston, TX (Port)","1207 Oil Seeds & Oleaginous Fruits Nesoi, Broken Or Not",9163586,9163586,3818181,,,9163586,3818181
"Houston, TX (Port)","1209 Seeds, Fruit And Spores, For Sowing",2926653,2926653,1227684,,,2850253,1225737
"Houston, TX (Port)","1210 Hop Cones, Fresh Or Dried; Lupulin",1819729,1819729,210347,,,1819729,210347
"Houston, TX (Port)","1211 Plants Etc For Pharmacy, Perfume, Insecticides Etc",1926687,1926687,257286,,,1336152,204315
"Houston, TX (Port)","1212 Locust Beans, Seaweed, S Beet & Cane; Fr Pits Etc.",1957790,1957790,368428,,,1957790,368428
"Houston, TX (Port)","1301 Lac; Natural Gums, Resins, Gum-resins And Balsams",890956,890956,228463,,,880996,223138
"Houston, TX (Port)",1302 Veg Saps & Extracts; Pectates Etc; Agar-agar Etc.,3210482613,3210482613,262382010,,,3162950452,257068052
"Houston, TX (Port)","1401 Vegetable Plaiting Materials (bamboos, Reeds Etc.)",10426,10426,10485,,,10426,10485
"Houston, TX (Port)",1404 Vegetable Products Nesoi,1115853,1115853,5440666,,,1092550,5285266
"Houston, TX (Port)","1504 Fats & Oils, Their Fractions, Fish & Marine Mammal",202298,202298,100161,,,60818,24161
"Houston, TX (Port)","1509 Olive Oil & Its Fractions, Not Chemically Modified",53923692,53923692,18222153,,,49429807,16709499
"Houston, TX (Port)",1510 Olive-residue Oil & Blends (1509&1510) Nt Chem Mod,877407,877407,438657,,,877407,438657
"Houston, TX (Port)","1511 Palm Oil & Its Fractions, Not Chemically Modified",8196492,8196492,8612823,,,876888,613256
"Houston, TX (Port)","1512 Sunfl-seed, Safflow Or Cottonsd Oil Etc, No Ch Mod",1926661,1926661,1046966,,,1926661,1046966
"Houston, TX (Port)","1513 Coconut, Palm Kernel Or Babassu Oil Etc, No Ch Mod",27844,27844,18762,,,27844,18762
"Houston, TX (Port)","1514 Rapeseed, Colza Or Mustard Oil Etc, Not Chem Modif",6501,6501,3729,,,6501,3729
"Houston, TX (Port)","1515 Fixed Veg Fats & Oils Nesoi Etc, Not Chem Modified",10052815,10052815,6125844,,,4212722,2467028
"Houston, TX (Port)","1516 An Or Veg Fats & Oils, Hydrogen Etc, Not Fur Prep",1311707,1311707,764509,,,1311707,764509
"Houston, TX (Port)",1517 Margarine; Edible Mixtures Etc An Or Veg Fat & Oil,916592,916592,572439,,,916592,572439
"Houston, TX (Port)",1518 Anml/veg Fats & Oils Chem Modified; Inedbl Mxt Etc,3502048,3502048,2197385,,,3502048,2197385
"Houston, TX (Port)","1520 Glycerol (glycerine), Glycerol Waters And Lyes",629097,629097,5656050,,,128028,109770
"Houston, TX (Port)","1521 Veg Waxes Nesoi, Beeswax Etc And Spermaceti",361319,361319,137087,,,240372,90410
"Houston, TX (Port)","1602 Prepared Or Preserv Meat, Meat Offal & Blood Nesoi",6394079,6394079,1215762,,,6394079,1215762
"Houston, TX (Port)","1603 Extracts Etc. Of Meat, Fish, Crustaceans, Etc.",3720,3720,2231,,,3720,2231
"Houston, TX (Port)",1604 Prep Or Pres Fish; Caviar & Caviar Substitutes,19130992,19130992,5779331,,,19130992,5779331
"Houston, TX (Port)","1605 Crustaceans, Molluscs Etc. Prepared Or Preserved",39309619,39309619,6039964,,,39309619,6039964
"Houston, TX (Port)","1701 Cane Or Beet Sugar & Chem Pure Sucrose, Solid Form",37285654,37285654,29316589,,,37285654,29316589
"Houston, TX (Port)","1702 Sugars Nesoi, Incl Chem Pure Lactose Etc; Caramel",337296,337296,308283,,,337296,308283
"Houston, TX (Port)",1703 Molasses From The Extraction Or Refining Of Sugar,17121530,17121530,160922023,,,1410118,10064994
"Houston, TX (Port)","1704 Sugar Confection (incl White Chocolate), No Cocoa",13887468,13887468,8992262,,,13819832,8952458
"Houston, TX (Port)","1803 Cocoa Paste, Defatted Or Not",54387,54387,7743,,,54387,7743
"Houston, TX (Port)","1805 Cocoa Powder, Not Sweetened",9735895,9735895,1777447,,,9735895,1777447
"Houston, TX (Port)",1806 Chocolate & Other Food Products Containing Cocoa,15897033,15897033,3284935,,,14804732,3093854
"Houston, TX (Port)",1901 Malt Ext; Food Prep Of Flour Etc Un 40% Cocoa Etc,2214021,2214021,1454508,,,2214021,1454508
"Houston, TX (Port)","1902 Pasta, Prepared Or Not; Couscous, Prepared Or Not",7532115,7532115,4711512,,,7532115,4711512
"Houston, TX (Port)","1903 Tapioca And Substitutes From Starch In Flakes, Etc",30774,30774,53906,,,30774,53906
"Houston, TX (Port)","1904 Foods Prep By Swell Cereal; Cereal Nesoi, Grain Fm",9003522,9003522,3541500,,,9003522,3541500
"Houston, TX (Port)","1905 Bread, Pastry, Cakes Etc; Comm Wafrs, Emp Caps Etc",31785457,31785457,11750979,,,31736823,11722024
"Houston, TX (Port)","2001 Veg, Fruit, Nuts Etc, Prep Or Pres By Vinegar Etc",21930336,21930336,17940528,,,21930336,17940528
"Houston, TX (Port)",2002 Tomatoes Prepared Or Preserved Nesoi,231397,231397,202792,,,231397,202792
"Houston, TX (Port)",2003 Mushrooms And Truffles Prepared Or Preserved Nesoi,2007403,2007403,1352968,,,2007403,1352968
"Houston, TX (Port)","2004 Vegetables Nesoi Prepared Or Preserv Nesoi, Frozen",2217335,2217335,2217711,,,2217335,2217711
"Houston, TX (Port)","2005 Vegetables Nesoi Prepared Etc Nesoi, Not Frozen",55977414,55977414,40647746,,,55820061,40471170
"Houston, TX (Port)","2006 Veg/fruit/nuts/fruit-peel Etc, Preserved By Sugar",385270,385270,168593,,,376195,151598
"Houston, TX (Port)","2007 Jams, Fruit Jellies, Marmalades Etc, Cooked",3614618,3614618,2935349,,,3614618,2935349
"Houston, TX (Port)","2008 Fruit, Nuts Etc Prepared Or Preserved Nesoi",34891521,34891521,29039266,,,34739918,29001266
"Houston, TX (Port)",2009 Fruit Juice Nt Frtfd W Vit/mnl Veg Juice No Spirit,10465941,10465941,7386841,,,10465941,7386841
"Houston, TX (Port)","2101 Extracts Etc Of Coffee, Tea Or Mate; Roast Chicory",31937623,31937623,3823575,,,31874433,3816109
"Houston, TX (Port)",2102 Yeasts; Dead Sing-cell Micro-org Nesoi; Bak Powder,7957151,7957151,1099649,,,7951316,1098493
"Houston, TX (Port)","2103 Sauces & Prep; Mixed Condiments, Mustard Flour Etc",8361574,8361574,4984928,,,8361574,4984928
"Houston, TX (Port)","2104 Soups, Broths & Preps; Homogenized Comp Food Preps",2707836,2707836,1218549,,,2707836,1218549
"Houston, TX (Port)","2105 Ice Cream And Other Edible Ice, With Cocoa Or Not",722934,722934,330587,,,722934,330587
"Houston, TX (Port)",2106 Food Preparations Nesoi,15469781,15469781,2930520,,,15383385,2923788
"Houston, TX (Port)","2201 Waters, Natural Etc, Not Sweetened Etc; Ice & Snow",21611868,21611868,44468499,,,21611868,44468499
"Houston, TX (Port)","2202 Waters, Sweetened Etc & Oth Nonalc Beverages Nesoi",218141426,218141426,114076972,,,218108531,114051811
"Houston, TX (Port)",2203 Beer Made From Malt,153205887,153205887,169499255,,,152845767,169256108
"Houston, TX (Port)",2204 Wine Of Fresh Grapes; Grape Must Nesoi,271593536,271593536,85332775,,,271512186,85311819
"Houston, TX (Port)",2205 Vermouth & Oth Wine Of Fresh Grapes Spec Flavored,2105339,2105339,1059465,,,2105339,1059465
"Houston, TX (Port)","2206 Fermented Beverages Nesoi (cider, Perry, Mead Etc)",2982967,2982967,1668324,,,2982967,1668324
"Houston, TX (Port)","2207 Ethyl Alcohol, Undenat, Nun80% Alc; Alcohol, Denat",304692349,304692349,327117355,,,225218044,243851586
"Houston, TX (Port)","2208 Ethyl Alcohol, Undenat, Und80% Alc; Spirit Beverag",510983929,509404800,66196720,,,501365324,65270957
"Houston, TX (Port)",2209 Vinegar & Substitutes For Vinegar From Acetic Acid,2958863,2958863,2374759,,,2958863,2374759
"Houston, TX (Port)","2301 Flour, Meal Etc Of Meat Etc, Not For Human; Greavs",21951377,21951377,17825483,,,21951377,17825483
"Houston, TX (Port)","2302 Bran, Sharps Etc From Working Cereals & Leg Plants",902572,902572,983867,,,902572,983867
"Houston, TX (Port)","2304 Soybean Oilcake & Oth Solid Residue, Wh/not Ground",42966,42966,39600,,,,
"Houston, TX (Port)","2306 Oilcake Etc Nesoi, From Veg Fats & Oils Nesoi",2153702,2153702,4137485,,,2153702,4137485
"Houston, TX (Port)","2308 Veg Material, Waste Etc For Feeding Animals Nesoi",292150,292150,17328,,,292150,17328
"Houston, TX (Port)",2309 Preparations Used In Animal Feeding,32460379,32460379,2629682,,,32382667,2616280
"Houston, TX (Port)","2401 Tobacco, Unmanufactured; Tobacco Refuse",256976,256976,87084,,,256976,87084
"Houston, TX (Port)","2402 Cigars, Cigarettes Etc., Of Tobacco Or Substitutes",1472360,1472360,252257,,,1472360,252257
"Houston, TX (Port)",2403 Tobacco & Tobacco Subst Mfrs Nesoi; Tob Proces Etc,843062,843062,49592,,,843062,49592
"Houston, TX (Port)",4101 Raw Hides & Skins Of Bovine Or Equine Animals,150667,150667,15905,,,150667,15905
"Houston, TX (Port)",4102 Raw Skins Of Sheep Or Lambs Nesoi,62565,62565,19089,,,62565,19089
"Houston, TX (Port)","4104 Bovine Or Equine Leather, No Hair Nesoi",5566738,5566738,529759,,,5479476,526157
"Houston, TX (Port)","4107 Leather Furt Prep Aft Tan/crust, No Hair On,nes",26787848,26787848,1591406,,,25582397,1552490
"Houston, TX (Port)","4112 Sheep/lamb Ltr,ft Prp Tan/crus, W/o Wool,nt Hd4114",608146,608146,12307,,,579307,11792
"Houston, TX (Port)","4113 Lthr Fthr Perp After Tanning,of Oth Aml, W/o Wl/hr",661601,661601,20045,,,169884,4715
"Houston, TX (Port)",4114 Chamois/patent/patent Laminated/metallized Leather,1115576,1115576,39560,,,31506,3975
"Houston, TX (Port)","4115 Comps. Lthr,fbr Slb/sht/srp;lthr Wst/dust/pwd/flou",4066331,4066331,68352,,,4066331,68352
"Houston, TX (Port)","5101 Wool, Not Carded Or Combed",38744,38744,18954,,,38744,18954
"Houston, TX (Port)","5102 Fine Or Coarse Animal Hair, Not Carded Or Combed",1428601,1428601,14711,,,1405851,14353
"Houston, TX (Port)","5105 Wool & Fine Or Coarse Animal Hair, Carded & Combed",338948,338948,24358,,,338948,24358
"Houston, TX (Port)","5106 Yarn Of Carded Wool, Not Put Up For Retail Sale",84839,84839,7518,,,84839,7518
"Houston, TX (Port)","5107 Yarn Of Combed Wool, Not Put Up For Retail Sale",34195,34195,1159,,,34195,1159
"Houston, TX (Port)","5109 Yarn Of Wool Or Fine Animal Hair, For Retail Sale",221178,221178,6329,,,221178,6329
"Houston, TX (Port)",5112 Woven Fabrics Of Combed Wool Or Fine Animal Hair,420246,420246,11522,,,201683,4839
"Houston, TX (Port)","5204 Cotton Sewing Thread, Retail Packed Or Not",2077,2077,335,,,2077,335
"Houston, TX (Port)",5205 Cotton Yarn (not Sewing Thread) Nu85%cot No Retail,184674,184674,27619,,,184674,27619
"Houston, TX (Port)",5206 Cotton Yarn (not Sewing Thread) Un85%cot No Retail,2151,2151,1219,,,2151,1219
"Houston, TX (Port)",5207 Cotton Yarn (not Sewing Thread) Retail Packed,530641,530641,50460,,,530641,50460
"Houston, TX (Port)","5208 Woven Cotton Fabrics, Nu 85% Cot, Wt Nov 200 G/m2",1714095,1714095,183372,,,1630933,175582
"Houston, TX (Port)","5209 Woven Cotton Fabrics, Nu 85% Cot, Wt Ov 200 G/m2",394384,394384,57009,,,394384,57009
"Houston, TX (Port)","5210 Woven Cotton Fabrics, Un85%cot, mmfmix, Nov200g/m2",1784211,1784211,386701,,,1784211,386701
"Houston, TX (Port)","5211 Woven Cotton Fabrics, Un85%cot, mmfmix, Ov200g/m2",246095,246095,10817,,,180154,10383
"Houston, TX (Port)",5212 Woven Cotton Fabrics Nesoi,104911,104911,14180,,,104911,14180
"Houston, TX (Port)","5305 Coconut, Abaca, Ramie Etc Nesoi, Raw Etc; Tow Etc",226075,226075,852778,,,226075,852778
"Houston, TX (Port)",5306 Flax Yarn,308,308,6,,,308,6
"Houston, TX (Port)",5307 Yarn Of Jute & Other Textile Bast Fibers Nesoi,1642,1642,27,,,1642,27
"Houston, TX (Port)",5308 Yarn Of Vegetable Textile Fibers Nesoi; Paper Yarn,478,478,1,,,478,1
"Houston, TX (Port)",5309 Woven Fabrics Of Flax,206831,206831,9982,,,200343,9804
"Houston, TX (Port)",5310 Woven Fabrics Of Jute Or Oth Text Bast Fiber Nesoi,643238,643238,484814,,,630232,484088
"Houston, TX (Port)",5311 Wov Fab Of Ot Veg Textile Fib Wov Fab Of ppr Yarn,9234,9234,239,,,9234,239
"Brownsville, TX (Port)","0106 Animals, Live, Nesoi",445013,,,,,,
"Brownsville, TX (Port)","0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)",7706181,,,,,,
"Brownsville, TX (Port)","0303 Fish, Frozen (no Fish Fillets Or Other Fish Meat)",7737,,,,,,
"Brownsville, TX (Port)",0306 Crustaceans Live Frsh Etc Smoked/cooked Flours Etc,5156639,,,,,,
"Brownsville, TX (Port)",0406 Cheese And Curd,153668,,,,,,
"Brownsville, TX (Port)","0508 Coral, Shell Of Molluscs Etc Unworked Powder/waste",52033,,,,,,
"Brownsville, TX (Port)","0511 Animal Products Nesoi; Dead Animals, Inedible Etc.",10947,,,,,,
"Brownsville, TX (Port)","0602 Live Plants Nesoi, Cuttings Etc.; Mushroom Spawn",3461847,,,,,,
"Brownsville, TX (Port)","0604 Foliage, Grasses Etc For Bouquets Etc, Prepared",5414,,,,,,
"Brownsville, TX (Port)","0706 Carrots, Turnips & Other Edible Roots, Fr Or Chill",369221,,,,,,
"Brownsville, TX (Port)","0708 Leguminous Vegetables, Shelled Or Not, Fr Or Chill",288255,,,,,,
"Brownsville, TX (Port)","0709 Vegetables Nesoi, Fresh Or Chilled",10231966,,,,,,
"Brownsville, TX (Port)","0710 Vegetables (raw Or Cooked By Steam Etc), Frozen",15054393,,,,,,
"Brownsville, TX (Port)","0807 Melons And Papayas, Fresh",21674,,,,,,
"Brownsville, TX (Port)","0811 Fruit & Nuts (raw Or Cooked By Steam Etc), Frozen",146031,,,,,,
"Brownsville, TX (Port)",0813 Fruit Dried Nesoi; Mixtures Of Nuts Or Dried Fruit,2086,,,,,,
"Brownsville, TX (Port)","0904 Pepper, Genus Piper; Genus Capsicum Or Pimenta",931079,,,,,,
"Brownsville, TX (Port)","1207 Oil Seeds & Oleaginous Fruits Nesoi, Broken Or Not",618258,,,,,,
"Brownsville, TX (Port)",1208 Flour & Meal Of Oil Seed & Olea Fruit (no Mustard),127718,,,,,,
"Brownsville, TX (Port)","1209 Seeds, Fruit And Spores, For Sowing",146871,,,,,,
"Brownsville, TX (Port)","1211 Plants Etc For Pharmacy, Perfume, Insecticides Etc",54978,,,,,,
"Brownsville, TX (Port)",1302 Veg Saps & Extracts; Pectates Etc; Agar-agar Etc.,118038,,,,,,
"Brownsville, TX (Port)",1404 Vegetable Products Nesoi,272016,,,,,,
"Brownsville, TX (Port)",1505 Wool Grease & Fatty Substances Derived Therefrom,99691,,,,,,
"Brownsville, TX (Port)","1515 Fixed Veg Fats & Oils Nesoi Etc, Not Chem Modified",3366620,,,,,,
"Brownsville, TX (Port)","1605 Crustaceans, Molluscs Etc. Prepared Or Preserved",2808345,,,,,,
"Brownsville, TX (Port)","1701 Cane Or Beet Sugar & Chem Pure Sucrose, Solid Form",47573626,,,,,,
"Brownsville, TX (Port)","1702 Sugars Nesoi, Incl Chem Pure Lactose Etc; Caramel",1089214,,,,,,
"Brownsville, TX (Port)","1704 Sugar Confection (incl White Chocolate), No Cocoa",641713,,,,,,
"Brownsville, TX (Port)","1805 Cocoa Powder, Not Sweetened",245743,,,,,,
"Brownsville, TX (Port)",1806 Chocolate & Other Food Products Containing Cocoa,126672282,,,,,,
"Brownsville, TX (Port)","1905 Bread, Pastry, Cakes Etc; Comm Wafrs, Emp Caps Etc",17526,,,,,,
"Brownsville, TX (Port)","2001 Veg, Fruit, Nuts Etc, Prep Or Pres By Vinegar Etc",75711,,,,,,
"Brownsville, TX (Port)",2002 Tomatoes Prepared Or Preserved Nesoi,78772,,,,,,
"Brownsville, TX (Port)","2004 Vegetables Nesoi Prepared Or Preserv Nesoi, Frozen",890947,,,,,,
"Brownsville, TX (Port)","2008 Fruit, Nuts Etc Prepared Or Preserved Nesoi",5493555,,,,,,
"Brownsville, TX (Port)","2101 Extracts Etc Of Coffee, Tea Or Mate; Roast Chicory",2978477,,,,,,
"Brownsville, TX (Port)",2106 Food Preparations Nesoi,89350,,,,,,
"Brownsville, TX (Port)","2202 Waters, Sweetened Etc & Oth Nonalc Beverages Nesoi",113677,,,,,,
"Brownsville, TX (Port)","2208 Ethyl Alcohol, Undenat, Und80% Alc; Spirit Beverag",37512,37512,18006,,,,
"Brownsville, TX (Port)","2306 Oilcake Etc Nesoi, From Veg Fats & Oils Nesoi",54945,,,,,,
"Brownsville, TX (Port)","4104 Bovine Or Equine Leather, No Hair Nesoi",9145846,,,,,,
"Brownsville, TX (Port)","4107 Leather Furt Prep Aft Tan/crust, No Hair On,nes",23140,,,,,,
"Brownsville, TX (Port)",4114 Chamois/patent/patent Laminated/metallized Leather,4402,,,,,,
"Brownsville, TX (Port)","4115 Comps. Lthr,fbr Slb/sht/srp;lthr Wst/dust/pwd/flou",59493,,,,,,
"Brownsville, TX (Port)",5111 Woven Fabrics Of Carded Wool Or Fine Animal Hair,189030,,,,,,
"Brownsville, TX (Port)",5202 Cotton Waste (including Yarn Waste Etc.),77533,,,,,,
"Brownsville, TX (Port)","5208 Woven Cotton Fabrics, Nu 85% Cot, Wt Nov 200 G/m2",11518,,,,,,
"Brownsville, TX (Port)","5209 Woven Cotton Fabrics, Nu 85% Cot, Wt Ov 200 G/m2",503,,,,,,
"Del Rio, TX (Port)","0101 Horses, Asses, Mules And Hinnies, Live",159588,,,,,,
"Del Rio, TX (Port)","0102 Bovine Animals, Live",36057199,,,,,,
"Del Rio, TX (Port)","0802 Nuts Nesoi, Fresh Or Dried",3223663,,,,,,
"Del Rio, TX (Port)","1521 Veg Waxes Nesoi, Beeswax Etc And Spermaceti",314738,,,,,,
"Del Rio, TX (Port)",1806 Chocolate & Other Food Products Containing Cocoa,5164,,,,,,
"Del Rio, TX (Port)","2008 Fruit, Nuts Etc Prepared Or Preserved Nesoi",47746,,,,,,
"Del Rio, TX (Port)",2309 Preparations Used In Animal Feeding,6951,,,,,,
"Del Rio, TX (Port)","4107 Leather Furt Prep Aft Tan/crust, No Hair On,nes",4250,,,,,,
"Del Rio, TX (Port)",4114 Chamois/patent/patent Laminated/metallized Leather,15654,,,,,,
"Del Rio, TX (Port)","4115 Comps. Lthr,fbr Slb/sht/srp;lthr Wst/dust/pwd/flou",27870,,,,,,
"Del Rio, TX (Port)","5101 Wool, Not Carded Or Combed",12239,,,,,,
"Del Rio, TX (Port)","5208 Woven Cotton Fabrics, Nu 85% Cot, Wt Nov 200 G/m2",23874,,,,,,
"Eagle Pass, TX (Port)","0102 Bovine Animals, Live",75591482,,,,,,
"Eagle Pass, TX (Port)","0504 Animal (not Fish) Guts, Bladders, Stomachs & Parts",4945056,,,,,,
"Eagle Pass, TX (Port)","0511 Animal Products Nesoi; Dead Animals, Inedible Etc.",63443,,,,,,
"Eagle Pass, TX (Port)","0708 Leguminous Vegetables, Shelled Or Not, Fr Or Chill",432959,,,,,,
"Eagle Pass, TX (Port)","0709 Vegetables Nesoi, Fresh Or Chilled",290011,,,,,,
"Eagle Pass, TX (Port)","0710 Vegetables (raw Or Cooked By Steam Etc), Frozen",14286341,,,,,,
"Eagle Pass, TX (Port)","0713 Leguminous Vegetables, Dried Shelled",290675,,,,,,
"Eagle Pass, TX (Port)","0802 Nuts Nesoi, Fresh Or Dried",6076924,,,,,,
"Eagle Pass, TX (Port)","0807 Melons And Papayas, Fresh",2515610,,,,,,
"Eagle Pass, TX (Port)","0904 Pepper, Genus Piper; Genus Capsicum Or Pimenta",106096,,,,,,
"Eagle Pass, TX (Port)","1008 Buckwheat, Millet And Canary Seeds; Other Cereals",742407,,,,,,
"Eagle Pass, TX (Port)",1404 Vegetable Products Nesoi,7619,,,,,,
"Eagle Pass, TX (Port)","1701 Cane Or Beet Sugar & Chem Pure Sucrose, Solid Form",104590876,,,,,,
"Eagle Pass, TX (Port)","2008 Fruit, Nuts Etc Prepared Or Preserved Nesoi",78643922,,,,,,
"Eagle Pass, TX (Port)","2103 Sauces & Prep; Mixed Condiments, Mustard Flour Etc",3095905,,,,,,
"Eagle Pass, TX (Port)","2105 Ice Cream And Other Edible Ice, With Cocoa Or Not",8484,,,,,,
"Eagle Pass, TX (Port)",2203 Beer Made From Malt,1057730317,,,,,,
"Eagle Pass, TX (Port)","4104 Bovine Or Equine Leather, No Hair Nesoi",1996681,,,,,,
"Eagle Pass, TX (Port)","4107 Leather Furt Prep Aft Tan/crust, No Hair On,nes",7760020,,,,,,
"Eagle Pass, TX (Port)","4113 Lthr Fthr Perp After Tanning,of Oth Aml, W/o Wl/hr",275946,,,,,,
"Eagle Pass, TX (Port)",4114 Chamois/patent/patent Laminated/metallized Leather,483184,,,,,,
"Eagle Pass, TX (Port)","5208 Woven Cotton Fabrics, Nu 85% Cot, Wt Nov 200 G/m2",161218,,,,,,
"Eagle Pass, TX (Port)","5209 Woven Cotton Fabrics, Nu 85% Cot, Wt Ov 200 G/m2",6945151,,,,,,
"Eagle Pass, TX (Port)","5211 Woven Cotton Fabrics, Un85%cot, mmfmix, Ov200g/m2",979955,,,,,,
"Eagle Pass, TX (Port)",5212 Woven Cotton Fabrics Nesoi,408,,,,,,
"Hildago, TX (Port)","0102 Bovine Animals, Live",39296712,,,,,,
"Hildago, TX (Port)","0201 Meat Of Bovine Animals, Fresh Or Chilled",879701,,,,,,
"Hildago, TX (Port)","0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)",32452,,,,,,
"Hildago, TX (Port)","0303 Fish, Frozen (no Fish Fillets Or Other Fish Meat)",24588,,,,,,
"Hildago, TX (Port)","0304 Fish Fillets & Oth Fish Meat, Fresh, Chill Or Froz",66173,,,,,,
"Hildago, TX (Port)",0306 Crustaceans Live Frsh Etc Smoked/cooked Flours Etc,93092,,,,,,
"Hildago, TX (Port)","0403 Buttermilk, Yogurt, Kephir Etc, Flavord Etc Or Not",462763,,,,,,
"Hildago, TX (Port)",0406 Cheese And Curd,259558,,,,,,
"Hildago, TX (Port)","0409 Honey, Natural",66011,,,,,,
"Hildago, TX (Port)","0603 Cut Flowers & Buds For Bouquets Etc., Prepared",48193,,,,,,
"Hildago, TX (Port)","0604 Foliage, Grasses Etc For Bouquets Etc, Prepared",664621,,,,,,
"Hildago, TX (Port)","0702 Tomatoes, Fresh Or Chilled",341035385,,,,,,
"Hildago, TX (Port)","0703 Onions, Shallots, Garlic, Leeks Etc, Fr Or Chilled",5088668,,,,,,
"Hildago, TX (Port)","0704 Cabbages, Cauliflower, Kale Etc, Fresh Or Chilled",28905623,,,,,,
"Hildago, TX (Port)","0705 Lettuce And Chicory, Fresh Or Chilled",3036954,,,,,,
"Hildago, TX (Port)","0706 Carrots, Turnips & Other Edible Roots, Fr Or Chill",13212106,,,,,,
"Hildago, TX (Port)","0707 Cucumbers And Gherkins, Fresh Or Chilled",34984555,,,,,,
"Hildago, TX (Port)","0708 Leguminous Vegetables, Shelled Or Not, Fr Or Chill",9282378,,,,,,
"Hildago, TX (Port)","0709 Vegetables Nesoi, Fresh Or Chilled",167598855,,,,,,
"Hildago, TX (Port)","0710 Vegetables (raw Or Cooked By Steam Etc), Frozen",103166212,,,,,,
"Hildago, TX (Port)","0712 Vegetables, Dried, Whole, Cut Etc., No Added Prep",37267,,,,,,
"Hildago, TX (Port)","0713 Leguminous Vegetables, Dried Shelled",292603,,,,,,
"Hildago, TX (Port)","0714 Cassava, Arrowroot Etc, Fresh Or Dry; Sago Pith",1884839,,,,,,
"Hildago, TX (Port)","0801 Coconuts, Brazil Nuts & Cashew Nuts, Fresh Or Dry",2623168,,,,,,
"Hildago, TX (Port)","0802 Nuts Nesoi, Fresh Or Dried",90251,,,,,,
"Hildago, TX (Port)","0803 Bananas, Including Plantains, Fresh Or Dried",16188026,,,,,,
"Hildago, TX (Port)","0804 Dates, Figs, Pineapples, Avocados Etc, Fr Or Dried",434099094,,,,,,
"Hildago, TX (Port)","0805 Citrus Fruit, Fresh Or Dried",149376701,,,,,,
"Hildago, TX (Port)","0806 Grapes, Fresh Or Dried",27258,,,,,,
"Hildago, TX (Port)","0807 Melons And Papayas, Fresh",31483078,,,,,,
"Hildago, TX (Port)","0810 Fruit Nesoi, Fresh",395221230,,,,,,
"Hildago, TX (Port)","0811 Fruit & Nuts (raw Or Cooked By Steam Etc), Frozen",77407441,,,,,,
"Hildago, TX (Port)",0813 Fruit Dried Nesoi; Mixtures Of Nuts Or Dried Fruit,873413,,,,,,
"Hildago, TX (Port)","0814 Peel, Citrus Or Melon, Frsh/frzn/dried/provsl Pres",103409,,,,,,
"Hildago, TX (Port)","0904 Pepper, Genus Piper; Genus Capsicum Or Pimenta",7946302,,,,,,
"Hildago, TX (Port)",0906 Cinnamon And Cinnamon-tree Flowers,23365,,,,,,
"Hildago, TX (Port)","0910 Ginger, Saffron, Tumeric, Thyme, Bay Leaves Etc.",53227,,,,,,
"Hildago, TX (Port)",1004 Oats,5628,,,,,,
"Hildago, TX (Port)",1005 Corn (maize),6220229,,,,,,
"Hildago, TX (Port)",1007 Grain Sorghum,9828,,,,,,
"Hildago, TX (Port)","1008 Buckwheat, Millet And Canary Seeds; Other Cereals",21330,,,,,,
"Hildago, TX (Port)",1101 Wheat Or Meslin Flour,1071983,,,,,,
"Hildago, TX (Port)","1102 Cereal Flours, Except Of Wheat Or Of Meslin",303863,,,,,,
"Hildago, TX (Port)","1104 Cereal Grains, Worked Etc Nesoi; Cereal Germs, Wrk",5565,,,,,,
"Hildago, TX (Port)","1106 Flour & Meal Of Dry, Legum Vegs, Sago, Fruit Etc.",27266,,,,,,
"Hildago, TX (Port)","1201 Soybeans, Whether Or Not Broken",2677,,,,,,
"Hildago, TX (Port)","1202 Peanuts (ground-nuts), Raw",100325,,,,,,
"Hildago, TX (Port)","1209 Seeds, Fruit And Spores, For Sowing",41388,,,,,,
"Hildago, TX (Port)","1211 Plants Etc For Pharmacy, Perfume, Insecticides Etc",1127471,,,,,,
"Hildago, TX (Port)","1212 Locust Beans, Seaweed, S Beet & Cane; Fr Pits Etc.",173709,,,,,,
"Hildago, TX (Port)",1213 Cereal Straw & Husks Unprep W/n Chop Etc Or Pellet,18236,,,,,,
